"name","address"
"Ks.Hasna","Jl.Nangka - Oebobo"
"Ks.Rahmadani","Jl.Nangka - Oebobo"
"Ks.Awal","Jl.Bunga Jati - Kelapa Lima"
"Ks.Naldy","Jl.TDM V - TDM V"
"Ks. Azam Cell","Noelbaki"
"Ks. Adrian Cell","Jl.Farmasi - Liliba"
"Ks.Noval","Jl.Timor Raya Km.7 - Oesapa"
"Ks.Bilkis","Jl.Pulau Indah - Kelapa Lima"
"Ks.Susan","Jl.Lubang Jati - Manutapen"
"Ks.Risky","Jurusan Gereja Eden Nisbaki - Manutapen"
"Ks.Saldi","Jl.Sukun 1 - Oepura"
"Ks. Amin","Depan IndoSablon - Belakang Pasar Oebobo"
"Tk.Tirta Mas","Jl.Fetor Funay - BTN"
"Ks.Bintang","Jl.Pemuda - Kuanino"
"Ks.Tahar Dua","Jl.Pemuda - Kuanino"
"Ks.Putra Tunggal","Jl.Bhakti Karang - Oebobo"
"Ks.Wahyu","Jl.El Tari 3 - Penfui"
"Best Mart","Jl.Timor Raya Km.9 - Oesapa"
"King Mart","Jl.Adisucipto - Penfui"
"Ks.Andi","Jl.Timor Raya - Tuapukan"
"Ks.A'an","Jl.Timor Raya - Babau"
"Ks.Nursyafika","Jurusan Wira Aji - Naibonat"
"Ks.Ridwan","Jurusan Kantor Bupati - Naibonat"
"Ks.Akbar","Depan Pertamina - Naibonat"
"Ks.Kirana","Jurusan Pertamina - Naibonat"
"Ks.Lima Utama","Belakang Polresta - Walikota"
"Ks.Cahaya Ismail","Jl.Nusantara - Liliba"
"Ks.Putra - Putri","Jurusan Anugerah Mandiri - Jalur 40"
"Ks.Putra - Putri Dua","Jurusan SMA Negeri 6 - Sikumana"
"Aquarius Mart","Jl.Timor Raya Km.9 - Oesapa"
"Marina Mart","Jl.Piet A.Tallo - Liliba"
"911 Mart","Jl.El Tari 3 - Penfui"
"Top Mart","Jl.Jendral Sudirman - Kuanino"
"Tk. Firmansyah","Jl.Piet A.Tallo - Liliba"
"Ks.Lima - Lima","Jl.Taebenu - Liliba"
"Ks. Gracia ","Jl. Nasipanaf - Penfui"
"Bukit Bangunan","Jl.H.R Koroh - Sikumana"
"Ks.Kitinaubina","Jl.Nangka - Oebobo"
"Tk.Alta Indah","Jl.Pahlawan - Namosain"
"Ks.Radit","Jl.Alfons Nisnoni - Airnona"
"Ks.Waru","Jl.Timor Raya - Pasir Panjang"
"Ks.Sifatuo","Jl. Hans Kapitan - Kelapa Lima"
"Ks.Nirma","Jl.Hans Kapitan - Kelapa Lima"
"Tirosa Mart","Jl.Biknoi - Naikoten"
"Ks.Rafqi","Jl.Alfons Nisnoni - Batuplat"
"Ks.Aqila","Jl. Jambu - Manulai 2"
"Ks.Lisda","Jurusan SMA Negeri 6 - Sikumana"
"Ks.Sifatuo","Jl.Bhakti Karang - Oebobo"
"Ks.Kembar","Jl.Bundaran PU - Oebufu"
"Bengkel Paparisa","Jl.H.R Koroh - Sikumana"
"Ks.Three - F","Jl.Jendral Sudirman - Kuanino"
"Tiara Mart","Jl.Piet A.Tallo - Liliba"
"Ks.Amin","Depan IndoSablon - Belakang Pasar Oebobo"
"Ks.Nadine 1","Jurusan JP Home Stay - Liliba"
"Ks.Christin Cell","Jl.Kejora - Jurusan RM.Telaga Opa Oepoi"
"Ks.Irfan Jaya","Jurusan Susteran Fioretti - Penfui"
"UD.Shinta ","Jl.H.R Koroh - Sikumana"
"UD.Keagungan","Jl.Oematan - Walikota"
"Ks.Sani Jaya","Jurusan Fatukoa - Jalur 40"
"Ks.Three - F","Jl.Jendral Sudirman - Kuanino"
"Ks.Mira","Jl.El Tari 3 - Penfui"
"Ks.Bilkis","Jl.Pulau Indah - Kelapa Lima"
"Ks.Risky","Jurusan Gereja Eden Nisbaki - Manutapen"
"Ks.Adiyasta","Jl.Lubang Jati - Manutapen"
"Ks.Arni","Jl.TDM II - TDM II"
"Flobamor Mart","Jurusan TDM II A - TDM II"
"Ks.Ridho","Jurusan Jembatan Pohon Duri - Oesapa"
"Ks.Nirwana","Jl.Bajawa (SMK N 4) - Oepoi"
"Ks.Nona","Jl.Pemuda - Kuanino"
"Ks.Gala Mahesa","Jl.Oe'ekam - Sikumana"
